Location,Customer,Overdue Balance (CAD)
Edmonton,Meridian Foods,18000
Vancouver,Harbour Freight,3000
Calgary,Northgate Industries,22000
Toronto,Bay Street Consulting,5000
Winnipeg,Brightway Retail,6000
Calgary,Bow River Supply,10000
Halifax,Maritime Traders,2000
Vancouver,Crestline Co,12000
Saskatoon,Northern Outfitters,3000
Edmonton,Whitemud Logistics,5000
Calgary,Summit Drilling,16000
Toronto,Apex Logistics,9000
Halifax,Delta Supplies,4000
Vancouver,Pacific Imports,7000
Winnipeg,Prairie Wholesale,3000
Edmonton,Ice District Retail,8000
Saskatoon,Wheatland Co,2000
